# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq
GCF_000699685.1	PRJNA224116	SAMN02370949	JNHH00000000.1	na	1339286	817	Bacteroides fragilis str. 3725 D9 ii	strain=3725 D9 ii		latest	Contig	Major	Full	2014/06/09	ASM69968v1	IGS	GCA_000699685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000699685.1_ASM69968v1	
GCF_000710365.1	PRJNA224116	SAMN02730069	JMZX00000000.2	na	817	817	Bacteroides fragilis	strain=DCMSKEJBY0001B		latest	Contig	Major	Full	2014/07/11	DCMSKEJBY0001B2.0	Odense University Hospital	GCA_000710365.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000710365.1_DCMSKEJBY0001B2.0	
GCF_000710375.1	PRJNA224116	SAMN02730070	JMZY00000000.2	na	817	817	Bacteroides fragilis	strain=DCMOUH0017B		latest	Contig	Major	Full	2014/07/11	DCMOUH0017B2.0	Odense University Hospital	GCA_000710375.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000710375.1_DCMOUH0017B2.0	
GCF_000724665.1	PRJNA224116	SAMN02730071	JMZZ00000000.2	na	817	817	Bacteroides fragilis	strain=DCMOUH0018B		latest	Contig	Major	Full	2014/09/08	DCMOUH0018B2.0	Odense University Hospital	GCA_000724665.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000724665.1_DCMOUH0018B2.0	
GCF_000724795.1	PRJNA224116	SAMN02892979	JPGQ00000000.1	na	817	817	Bacteroides fragilis	strain=DCMOUH0042B		latest	Scaffold	Major	Full	2014/07/11	DCMOUH0042B1.0	Odense University Hospital	GCA_000724795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000724795.1_DCMOUH0042B1.0	
GCF_000724805.1	PRJNA224116	SAMN02903368	JPHS00000000.1	na	817	817	Bacteroides fragilis	strain=DCMOUH0067B		latest	Contig	Major	Full	2014/07/11	DCMOUH0067B_1.0	Odense University Hospital	GCA_000724805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000724805.1_DCMOUH0067B_1.0	
GCF_000724815.1	PRJNA224116	SAMN02903957	JPHP00000000.1	na	817	817	Bacteroides fragilis	strain=DCMOUH0085B		latest	Contig	Major	Full	2014/07/11	DCMOUH0085B_1.0	Odense University Hospital	GCA_000724815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000724815.1_DCMOUH0085B_1.0	
GCF_000944095.1	PRJNA224116	SAMEA3217990	CDQM00000000.1	na	817	817	Bacteroides fragilis	strain=2d2A		latest	Contig	Major	Full	2015/02/25	2d2A_assembly	CGS-GL	GCA_000944095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000944095.1_2d2A_assembly	
GCF_000965785.1	PRJNA224116	SAMN03420872		na	817	817	Bacteroides fragilis	strain=BOB25		latest	Complete Genome	Major	Full	2015/03/30	ASM96578v1	FSBIS SRI PCM FMBA of Russia	GCA_000965785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000965785.1_ASM96578v1	
GCF_001054865.1	PRJNA224116	SAMN03197511	JVLR00000000.1	na	817	817	Bacteroides fragilis	strain=320_BFRA		latest	Contig	Major	Full	2015/07/10	ASM105486v1	University of Washington	GCA_001054865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001054865.1_ASM105486v1	
GCF_001054895.1	PRJNA224116	SAMN03197513	JVLP00000000.1	na	817	817	Bacteroides fragilis	strain=322_BFRA		latest	Contig	Major	Full	2015/07/10	ASM105489v1	University of Washington	GCA_001054895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001054895.1_ASM105489v1	
GCF_001056335.1	PRJNA224116	SAMN03197512	JVLQ00000000.1	na	817	817	Bacteroides fragilis	strain=321_BFRA		latest	Scaffold	Major	Full	2015/07/10	ASM105633v1	University of Washington	GCA_001056335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001056335.1_ASM105633v1	
GCF_001058755.1	PRJNA224116	SAMN03198091	JUPJ00000000.1	na	817	817	Bacteroides fragilis	strain=885_BFRA		latest	Contig	Major	Full	2015/07/10	ASM105875v1	University of Washington	GCA_001058755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001058755.1_ASM105875v1	
GCF_001058775.1	PRJNA224116	SAMN03198101	JUOZ00000000.1	na	817	817	Bacteroides fragilis	strain=894_BFRA		latest	Contig	Major	Full	2015/07/10	ASM105877v1	University of Washington	GCA_001058775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001058775.1_ASM105877v1	
GCF_001077245.1	PRJNA224116	SAMN03198125	JUOA00000000.1	na	817	817	Bacteroides fragilis	strain=915_BFRA		latest	Contig	Major	Full	2015/07/10	ASM107724v1	University of Washington	GCA_001077245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001077245.1_ASM107724v1	
GCF_001286525.1	PRJNA224116	SAMEA3501569		na	817	817	Bacteroides fragilis			latest	Complete Genome	Major	Full	2015/08/25	BFBE1.1	ED	GCA_001286525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001286525.1_BFBE1.1	
GCF_001373095.1	PRJNA224116	SAMEA3217991	CDQP00000000.1	na	817	817	Bacteroides fragilis	strain=4g8B		latest	Contig	Major	Full	2015/04/03	4g8B_assembly	CGS-GL	GCA_001373095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001373095.1_4g8B_assembly	
GCF_001580095.1	PRJNA224116	SAMN03956218	LTZK00000000.1	na	817	817	Bacteroides fragilis	strain=KLE1758		latest	Scaffold	Major	Full	2016/03/03	ASM158009v1	The Genome Institute at Washington University	GCA_001580095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001580095.1_ASM158009v1	
GCF_001682215.1	PRJNA224116	SAMN03921941		na	817	817	Bacteroides fragilis	strain=S14		latest	Complete Genome	Major	Full	2016/07/08	ASM168221v1	Seqomics Ltd	GCA_001682215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001682215.1_ASM168221v1	
GCF_001692695.1	PRJNA224116	SAMN05426807	MBRB00000000.1	na	817	817	Bacteroides fragilis	strain=JIM10		latest	Contig	Major	Full	2016/07/27	ASM169269v1	Federal Research and Clinical Center of Physical-Chemical Medicine of FMBA of Russia	GCA_001692695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001692695.1_ASM169269v1	
GCF_001693695.1	PRJNA224116	SAMN04093172	LMAC00000000.1	na	817	817	Bacteroides fragilis	strain=O:21		latest	Scaffold	Major	Full	2016/07/26	ASM169369v1	Seqomics Ltd.	GCA_001693695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001693695.1_ASM169369v1	
GCF_001695355.1	PRJNA224116	SAMN03921828	LGTH00000000.1	na	817	817	Bacteroides fragilis	strain=BF8		latest	Contig	Major	Full	2016/07/26	ASM169535v1	Seqomics Ltd	GCA_001695355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001695355.1_ASM169535v1	
GCF_001699855.1	PRJNA224116	SAMN03839334	LIDT00000000.1	na	817	817	Bacteroides fragilis	strain=20793-3		latest	Contig	Major	Full	2016/08/04	ASM169985v1	NIH/ NIDDK	GCA_001699855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001699855.1_ASM169985v1	
GCF_001699865.1	PRJNA224116	SAMN03839333	LIDV00000000.1	na	817	817	Bacteroides fragilis	strain=2-078382-3		latest	Contig	Major	Full	2016/08/05	ASM169986v1	NIH/ NIDDK	GCA_001699865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001699865.1_ASM169986v1	
GCF_001699875.1	PRJNA224116	SAMN03839335	LIDU00000000.1	na	817	817	Bacteroides fragilis	strain=20656-2-1		latest	Contig	Major	Full	2016/08/05	ASM169987v1	NIH/ NIDDK	GCA_001699875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001699875.1_ASM169987v1	
GCF_001699885.1	PRJNA224116	SAMN03839336	LIDS00000000.1	na	817	817	Bacteroides fragilis	strain=86-5443-2-2		latest	Contig	Major	Full	2016/08/04	ASM169988v1	NIH/ NIDDK	GCA_001699885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001699885.1_ASM169988v1	
